iter	Logloss
0	0.6508419828
1	0.6145136731
2	0.5638029158
3	0.5352712157
4	0.5120388249
5	0.4902238737
6	0.4677082397
7	0.4468336747
8	0.427932181
9	0.4106668571
10	0.3940914973
11	0.3821862187
12	0.3751961529
13	0.3665002854
14	0.3592852541
15	0.3526375828
16	0.3426131045
17	0.3380678289
18	0.3329765337
19	0.3282683489
20	0.3244330956
21	0.3211273687
22	0.3167565072
23	0.3131775932
24	0.3080861242
25	0.3032273388
26	0.3003336467
27	0.297171186
28	0.294534751
29	0.2922001288
30	0.2893688049
31	0.287533339
32	0.2862364006
33	0.2846583992
34	0.2834615733
35	0.2820784599
36	0.2805698449
37	0.2797001323
38	0.2788176656
39	0.2773750393
40	0.2760167533
41	0.2749993131
42	0.273892911
43	0.2731326714
44	0.2721600146
45	0.2714077573
46	0.2704615399
47	0.2693393394
48	0.268187965
49	0.2675218514
50	0.2667436811
51	0.2656743113
52	0.2650919509
53	0.2644754356
54	0.2635824705
55	0.2628190356
56	0.262171294
57	0.2616858306
58	0.2610266702
59	0.2603221528
60	0.2599102648
61	0.2590879969
62	0.2585064067
63	0.2579658285
64	0.2573068477
65	0.2566475279
66	0.2562137462
67	0.2554908485
68	0.255081858
69	0.2545833597
70	0.254188779
71	0.2536577739
72	0.2532618495
73	0.252855042
74	0.2524953459
75	0.2521783026
76	0.2517122798
77	0.2511461767
78	0.2507218922
79	0.2502837892
80	0.2498994177
81	0.2496203648
82	0.2489674237
83	0.2486413057
84	0.2481568006
85	0.2478337016
86	0.2476106771
87	0.2473583065
88	0.2469895097
89	0.2464679411
90	0.2463235067
91	0.2460386892
92	0.245683161
93	0.2452046137
94	0.2448837298
95	0.2447070171
96	0.2443039548
97	0.2439396658
98	0.2432587164
99	0.2428843904
100	0.2426689415
101	0.2425498076
102	0.2420141995
103	0.2418292279
104	0.2416140929
105	0.2413952944
106	0.2411537403
107	0.2409975117
108	0.2406878112
109	0.2405576803
110	0.2401575206
111	0.2395629183
112	0.2393039108
113	0.2391114977
114	0.2389650633
115	0.2386809906
116	0.2384181359
117	0.2382468353
118	0.237779123
119	0.2374036177
120	0.2372372078
121	0.2370572696
122	0.2368869128
123	0.2367462869
124	0.2366565944
125	0.2365101693
126	0.2363444393
127	0.2362153569
128	0.2359963518
129	0.2356620905
130	0.235463717
131	0.235158712
132	0.235015129
133	0.2349046294
134	0.2346512761
135	0.2344920231
136	0.2342882853
137	0.2341771413
138	0.2340043999
139	0.2337997537
140	0.2336420506
141	0.233547742
142	0.2333609362
143	0.2332222086
144	0.2330634823
145	0.2326180053
146	0.2323964595
147	0.2320323021
148	0.2318411542
149	0.2316665601
150	0.2312752198
151	0.2309958793
152	0.2308565342
153	0.2306644109
154	0.2302543128
155	0.2296698327
156	0.2293291378
157	0.2291170765
158	0.2289268283
159	0.2287750801
160	0.2286648551
161	0.2285449983
162	0.2284190872
163	0.2282486558
164	0.2281466058
165	0.2280445173
166	0.2278297079
167	0.2277066972
168	0.2276078584
169	0.2275311368
170	0.2274452967
171	0.2272643445
172	0.2271081914
173	0.2269696342
174	0.2266851276
175	0.2265748372
176	0.2264833218
177	0.2263966028
178	0.2262474952
179	0.2261000473
180	0.2258898886
181	0.225614535
182	0.2255071446
183	0.2254387321
184	0.2253103452
185	0.2252019135
186	0.2249955853
187	0.2247780217
188	0.2245296072
189	0.2243849948
190	0.2241590146
191	0.2240169378
192	0.2238944197
193	0.2237635107
194	0.2236602637
195	0.2234900955
196	0.2233943596
197	0.2232917512
198	0.2231623171
199	0.2231022756
200	0.2229474279
201	0.2224885595
202	0.2223285402
203	0.2221076304
204	0.2219079963
205	0.2217423076
206	0.221649088
207	0.2212857243
208	0.2211780564
209	0.2209266158
210	0.2208000876
211	0.2205996788
212	0.2204696694
213	0.2202132921
214	0.2198812509
215	0.2198100046
216	0.2196713934
217	0.2194817293
218	0.2193132435
219	0.2190402172
220	0.2188256739
221	0.2186663331
222	0.2185630764
223	0.218444687
224	0.2183558114
225	0.2181682216
226	0.2180669366
227	0.2178877153
228	0.2176709506
229	0.2175764168
230	0.2175202416
231	0.2173380638
232	0.2168638775
233	0.2166744024
234	0.2164355142
235	0.2160613581
236	0.2159035125
237	0.2156128739
238	0.2154805241
239	0.2153397999
240	0.2151861955
241	0.2149993083
242	0.2146631073
243	0.2144931817
244	0.2144125596
245	0.214154855
246	0.2136748589
247	0.2135290904
248	0.2133756661
249	0.2131923361
250	0.2130014312
251	0.2127188849
252	0.2126054625
253	0.2124560348
254	0.2122790636
255	0.2121015399
256	0.2119701826
257	0.2117991565
258	0.2116083685
259	0.2113940972
260	0.2112490377
261	0.2111105188
262	0.2109759894
263	0.2107729838
264	0.2105030089
265	0.2101567991
266	0.2099763134
267	0.2096292116
268	0.2094092448
269	0.209108244
270	0.2089881611
271	0.2087194448
272	0.2085895876
273	0.2084482493
274	0.2081135312
275	0.2078258011
276	0.2074200193
277	0.207277155
278	0.2071699823
279	0.2069812819
280	0.2067426135
281	0.206591942
282	0.2063653996
283	0.2062067928
284	0.2060803076
285	0.2059214341
286	0.2056356863
287	0.205515007
288	0.2052434151
289	0.2050472939
290	0.2049114161
291	0.2046430005
292	0.2045016997
293	0.2042551022
294	0.2041140001
295	0.2038097116
296	0.2034342383
297	0.2031963712
298	0.2029960037
299	0.2027864094
