model,auc,accuracy,precision,recall,f1
XGBoost_baseline,0.9764945630180784,0.9333491380770143,0.3321662626806715,0.8952334865714977,0.48454688318491357
CatBoost_baseline,0.9714376494605478,0.9108019778507807,0.2683791606367583,0.8974110815388338,0.4131899961009302
