model,auc,accuracy,precision,recall,f1
LogisticRegression_baseline,0.6517761996422209,0.6210417583906255,0.054618808516236544,0.6027098959593515,0.10016083634901488
LightGBM_baseline,0.9834084809073943,0.9478358790259762,0.3938886563415655,0.9107186063392209,0.5499306012126525
