threshold,precision,recall,f1
0.05,0.09775168742275882,0.9951609000725865,0.17801726936311107
0.07307692307692308,0.11026350425743373,0.993225260101621,0.1984913688893187
0.09615384615384615,0.12317139245078562,0.9900798451488023,0.21908713692946058
0.11923076923076922,0.13643965747926143,0.9869344301959836,0.23973669517176527
0.1423076923076923,0.15055913500703547,0.9837890152431648,0.26115161052056907
0.16538461538461538,0.16398492279009444,0.9789499153157513,0.2809136985350274
0.18846153846153846,0.17739659581973719,0.9733849503992258,0.3001007049345418
0.2115384615384615,0.19150054973947128,0.9692717154609243,0.3198147852466869
0.23461538461538461,0.2059400826446281,0.9646745705298815,0.33942025284127186
0.25769230769230766,0.22054162264360785,0.9595935156060973,0.35865436787845906
0.28076923076923077,0.23593293155916223,0.9566900556496492,0.3785180930499713
0.3038461538461538,0.25140341923960197,0.9535446406968304,0.3978999444696855
0.32692307692307687,0.2666348838793162,0.9472538107911929,0.4161352040816326
0.35,0.282380227585707,0.9426566658601501,0.4345789180145008
0.37307692307692303,0.29918950212273254,0.9378175659327365,0.45365168539325845
0.39615384615384613,0.3156644273308209,0.932252601016211,0.47163229083787256
0.4192307692307692,0.33209374729741414,0.9291071860633922,0.4892966360856269
0.44230769230769224,0.3504946866984243,0.9257198161142027,0.5084723237424413
0.46538461538461534,0.368094591975189,0.9189450762158239,0.52563836412705
0.4884615384615384,0.3855409401447945,0.9148318412775224,0.542467718794835
0.5115384615384615,0.4031756249329471,0.9092668763609969,0.5586442693622714
0.5346153846153846,0.42157526517716093,0.903943866440842,0.5749903809157368
0.5576923076923077,0.4399857108835437,0.8940237115896443,0.5897374511212193
0.5807692307692308,0.4615771601056471,0.8879748366803775,0.6074147633234028
0.6038461538461538,0.4836870026525199,0.8824098717638519,0.6248607898569348
0.6269230769230769,0.5070917006038478,0.8736994918945076,0.6417273858183757
0.65,0.5290981785872946,0.864505202032422,0.6564394635311409
0.673076923076923,0.5561144294247092,0.8560367771594484,0.6742258218199142
0.6961538461538461,0.5813914780292943,0.845148802322768,0.6888866975643427
0.7192307692307692,0.6122232063773251,0.836196467457053,0.7068930251585192
0.7423076923076923,0.6409774436090225,0.825066537624002,0.7214640854755104
0.7653846153846153,0.6705765407554672,0.8161142027582869,0.7362217614318455
0.7884615384615384,0.7008871989860583,0.8028066779578998,0.7483929175594902
0.8115384615384615,0.7319378798109386,0.7868376481974353,0.7583955223880597
0.8346153846153845,0.7642276422764228,0.7732881684006775,0.7687312086590499
0.8576923076923076,0.797138477261114,0.7548995886765062,0.7754442649434572
0.8807692307692307,0.828021978021978,0.7292523590612147,0.7755049530425833
0.9038461538461539,0.8629274145170965,0.6961045245584321,0.7705905986339896
0.9269230769230768,0.8988095238095238,0.6576336801354948,0.7595361184853989
0.95,0.9306076519129782,0.6002903459956448,0.7298132078246801
